@relation pressed_keys

@attribute pressed_key numeric
@attribute left_x numeric
@attribute left_y numeric
@attribute right_x numeric
@attribute right_y numeric

@data
100,19,2,18,1
100,20,3,18,2
100,20,2,19,1
100,21,2,19,3
100,19,2,19,3
100,19,3,19,3
100,18,2,18,3
100,18,3,18,2
100,18,1,18,3
100,18,4,20,2
100,21,3,19,4
100,22,2,20,3
100,18,3,19,3
100,21,4,19,2
100,20,2,18,3
100,21,3,18,4
100,20,3,20,2
100,19,3,19,4
100,21,2,19,3
100,21,2,19,3
100,21,3,20,3
100,21,2,19,2
100,22,3,20,3
100,20,2,18,4
100,21,3,19,4
100,22,3,21,3
100,21,3,20,3
100,19,2,20,4
100,20,2,18,4
100,20,3,19,2
100,21,3,19,3
100,20,2,20,3
100,19,2,18,3
100,20,3,19,4
100,21,3,19,3
100,21,3,21,4
100,21,3,21,3
100,19,2,19,3
100,21,3,20,3
100,20,3,18,4
102,23,3,22,4
102,23,3,18,3
102,21,3,18,3
102,20,1,17,2
102,22,3,20,2
102,21,2,19,3
102,21,2,20,2
102,21,3,19,3
102,21,3,18,3
102,22,3,19,3
102,20,3,19,3
102,21,2,20,3
102,21,3,18,3
102,19,3,17,4
102,20,3,19,3
102,21,2,18,5
102,22,2,20,3
102,20,2,16,3
102,21,3,20,3
102,21,3,18,2
103,19,3,18,3
103,21,4,18,3
103,21,2,18,2
103,20,3,19,2
103,21,2,17,3
103,22,4,18,2
103,21,2,18,2
103,21,2,18,2
103,20,3,19,3
103,20,2,17,4
103,21,3,17,3
103,21,3,18,4
103,21,3,18,3
103,21,3,19,2
103,19,2,18,3
103,20,3,17,2
103,21,3,20,3
103,20,3,17,3
103,21,3,19,2
103,20,3,18,2
103,21,3,19,2
103,20,3,18,3
103,20,2,17,3
103,18,3,18,2
103,21,3,18,3
103,20,2,18,1
103,20,3,17,1
103,20,3,18,2
103,20,3,19,2
103,19,2,18,2
103,20,2,17,3
103,20,3,17,2
103,20,2,17,2
104,?,?,18,3
104,20,2,18,2
104,21,3,18,1
104,22,4,18,1
104,23,3,18,2
104,22,3,18,2
104,20,4,19,2
104,21,2,18,2
104,21,2,19,2
104,20,4,17,3
104,20,3,18,2
104,19,2,18,2
104,21,2,18,2
104,21,3,18,2
104,22,3,19,2
104,23,4,18,2
104,21,2,17,2
104,21,4,18,2
104,21,2,18,3
104,19,2,19,2
104,21,4,17,2
104,20,2,17,1
104,20,3,17,3
104,21,2,16,2
104,20,3,19,2
104,20,3,17,2
104,20,2,17,2
104,20,2,18,2
104,21,3,18,3
104,19,3,18,3
104,19,3,19,3
104,20,3,18,2
104,19,4,19,2
104,20,6,18,5
104,20,5,17,5
104,21,6,19,5
104,21,6,19,5
104,21,8,18,7
104,21,8,19,5
104,20,6,18,6
106,21,3,17,2
106,19,5,18,6
106,20,6,17,6
106,20,6,17,6
106,20,7,19,6
106,16,6,17,7
106,18,6,17,7
106,18,5,18,6
106,19,5,17,6
106,20,6,18,5
106,19,6,18,7
106,17,5,18,5
106,18,4,17,6
106,18,6,17,6
106,18,4,18,6
106,19,4,16,6
106,20,6,16,5
106,18,3,17,3
106,18,3,19,3
106,19,3,18,3
106,19,3,18,3
106,17,3,17,3
106,18,3,17,3
106,18,3,16,3
106,18,3,17,3
106,18,3,18,3
106,20,4,17,2
107,19,4,17,2
107,17,3,16,3
107,17,3,17,3
107,19,4,18,3
107,17,3,16,3
107,17,3,17,3
107,18,3,18,3
107,18,3,15,3
107,17,3,17,3
107,18,4,17,4
107,18,4,17,3
107,17,3,17,4
107,17,3,17,4
107,19,3,16,2
107,18,3,17,3
107,19,3,17,3
107,18,3,17,3
107,17,2,16,3
107,18,3,17,3
107,18,3,16,3
107,18,4,17,3
107,19,3,17,2
107,19,4,16,2
107,18,3,17,3
107,18,4,17,3
107,19,3,18,4
107,19,3,18,4
107,18,3,18,4
107,18,3,17,3
107,18,3,17,3
107,18,4,17,3
107,18,3,17,4
107,17,4,16,3
107,18,3,16,3
107,18,3,17,3
107,17,3,17,3
108,18,3,17,2
108,19,2,17,3
108,18,3,16,3
108,20,3,16,3
108,17,2,16,2
108,18,3,16,3
108,18,3,16,3
108,18,4,16,1
108,19,2,16,2
108,18,3,16,2
108,19,3,15,2
108,19,3,16,2
108,18,2,16,2
108,19,2,16,3
108,19,3,15,2
108,17,3,16,3
108,18,3,15,3
108,19,3,16,2
108,18,1,16,2
108,18,3,15,3
108,20,3,17,2
108,19,3,16,2
108,18,3,17,3
108,19,3,17,2
108,18,3,16,2
108,19,3,16,3
108,18,3,16,3
108,18,3,16,3
108,18,3,17,3
108,18,3,17,2
108,18,2,16,2
108,17,3,15,2
108,19,3,17,2
108,20,4,17,3
108,18,3,16,4
