@relation pressed_keys-weka.filters.unsupervised.attribute.NumericToNominal-R1

@attribute pressed_key {32,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,241}
@attribute left_x numeric
@attribute left_y numeric
@attribute right_x numeric
@attribute right_y numeric

@data
112,14,2,20,1
112,15,4,20,1
112,15,3,19,1
112,15,3,?,?
112,15,3,21,2
112,17,2,19,1
112,17,4,23,2
112,15,3,20,2
112,15,3,?,?
112,16,3,22,2
112,15,3,20,1
112,14,3,18,2
112,15,3,19,2
112,15,3,20,1
112,16,3,20,2
112,16,3,20,2
112,15,3,19,1
112,13,3,18,2
112,16,3,19,3
112,14,3,19,2
97,22,3,22,2
97,23,3,22,3
97,22,3,22,3
97,22,3,21,3
97,23,3,23,2
97,21,3,22,3
97,22,3,22,3
97,23,3,22,3
97,22,4,22,2
97,22,4,22,2
97,23,3,22,3
97,22,3,21,2
97,22,3,22,2
97,21,3,22,3
97,23,3,21,3
97,22,3,22,2
97,22,3,21,3
97,22,3,22,2
97,21,2,22,2
97,21,2,21,2
97,22,2,21,3
97,21,2,21,3
97,22,3,22,2
97,23,3,22,2
97,21,4,21,2
97,22,3,22,3
97,23,3,22,2
97,22,2,23,2
97,21,2,21,2
97,22,3,22,2
97,21,2,22,2
97,23,3,21,4
97,22,2,22,3
97,21,2,22,2
97,21,2,23,2
97,22,2,22,2
97,22,2,21,2
97,22,3,21,2
97,22,2,21,2
97,22,2,21,2
97,22,2,22,1
97,22,2,22,1
97,21,2,21,2
97,22,2,21,2
97,22,2,21,3
97,23,2,22,2
97,22,2,22,1
97,22,3,21,1
97,22,2,21,3
97,21,2,21,1
97,22,2,22,1
97,22,2,22,3
97,22,2,21,2
97,22,2,22,2
97,22,2,22,1
97,20,2,22,2
97,21,2,21,2
97,21,2,22,2
97,22,2,22,2
97,21,2,22,1
97,22,2,22,1
97,22,2,22,1
97,22,2,22,2
97,22,2,22,1
97,21,2,21,1
97,23,2,22,1
97,22,2,21,2
97,22,2,22,1
97,22,2,21,1
97,22,2,21,1
97,22,2,22,2
97,23,2,22,2
97,22,2,21,1
115,22,2,21,1
115,22,2,21,2
115,21,3,22,1
115,22,2,21,1
115,22,2,22,1
115,21,2,21,1
115,21,2,21,1
115,21,2,20,1
115,21,2,21,1
115,21,2,21,1
115,21,2,22,1
115,22,2,21,1
115,22,2,21,1
115,23,2,21,2
115,21,2,20,1
115,22,2,22,2
115,22,2,21,1
115,21,2,20,2
115,21,3,22,2
115,22,3,21,1
115,22,3,21,1
115,20,2,21,1
115,22,3,22,1
115,21,2,21,1
115,22,3,21,1
115,22,3,22,1
115,21,3,21,2
115,21,2,19,2
115,22,2,21,2
115,22,2,21,2
115,23,2,20,1
115,23,2,22,1
115,22,2,21,2
115,22,2,22,2
115,22,2,21,1
115,22,2,21,1
115,23,2,21,1
115,22,2,21,2
115,21,2,21,2
115,22,2,22,2
115,21,2,21,1
115,23,1,21,1
115,21,2,21,2
115,22,1,20,1
115,21,2,20,1
115,22,2,21,2
115,20,2,20,1
115,21,4,19,2
100,22,2,20,1
100,21,3,20,1
100,21,2,21,2
100,21,2,21,2
100,21,2,21,1
100,20,1,20,1
100,21,2,21,1
100,21,2,20,1
100,22,2,21,2
100,20,2,20,1
100,20,2,20,1
100,20,2,21,1
100,21,2,20,2
100,21,2,19,2
100,20,2,21,2
100,21,2,21,1
100,21,2,21,1
100,21,2,20,1
100,20,2,20,1
100,21,2,21,1
100,19,2,20,2
100,21,3,21,1
100,22,3,22,2
100,22,3,20,2
100,20,2,21,1
100,20,2,20,1
100,21,2,20,2
100,21,2,20,1
100,21,2,21,2
100,21,2,21,1
100,21,2,20,2
100,22,2,21,1
100,21,1,20,1
100,21,3,21,2
100,20,2,20,2
100,21,1,20,2
100,20,2,21,2
100,20,1,21,2
100,19,2,21,1
100,21,2,21,1
100,22,2,21,1
100,20,1,20,2
100,21,2,21,1
100,22,2,21,1
100,21,2,21,1
100,21,2,20,1
100,21,2,22,2
100,21,2,22,1
100,21,2,21,1
100,21,2,21,1
100,20,2,20,1
100,20,2,21,2
102,19,3,21,2
102,19,2,21,2
102,19,3,21,2
102,18,2,22,2
102,18,2,21,3
102,19,3,20,3
102,18,3,21,3
102,20,2,22,3
102,18,2,23,2
102,19,2,20,3
102,20,2,21,2
102,20,2,22,2
102,19,2,21,3
102,?,?,?,?
102,?,?,?,?
102,19,2,?,?
102,20,3,21,1
102,20,2,19,1
102,17,2,22,1
102,18,2,22,0
102,19,3,21,2
102,20,3,21,1
102,18,2,21,2
102,19,3,20,2
102,20,2,22,1
102,20,2,22,2
102,19,3,?,?
102,19,2,23,1
102,20,2,23,1
102,18,2,22,1
102,19,3,21,2
102,18,1,24,2
102,19,2,23,1
