@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric

@data

1_man-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,10,weka.classifiers.trees.LMT,'-I -1 -M 1 -W 0.0',-1113212459618104943,20220608.1452,27177,3019,515,2504,0,17.058629,82.941371,0,0.073942,0.035696,0.134993,95.818794,98.912644,14986.226207,13969.557026,1016.669181,4.96397,4.627213,0.336757,2625.023774,0.869501,17.516243,0.052632,3,0.004389,13,0.995611,2949,0.947368,54,0.1875,0.052632,0.082192,0.090432,0.673496,0.051977,0.170586,0.10025,0.89975,0.829414,0.176668,0.170586,0.118794,0.089906,0.680221,0.11876,0.120441,0.170586,458.006,0,449.5,0,449500,0,1330620,2529934,283240,89.599205,40.240568,?,117,59
2_woman-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,1,weka.classifiers.trees.LMT,'-I -1 -M 1 -W 0.0',-1113212459618104943,20220608.1458,25365,2819,444,2375,0,15.750266,84.249734,0,0.014278,0.036407,0.135452,98.530457,99.65655,13510.877236,13105.963732,404.913504,4.792791,4.649154,0.143637,1289.293425,0.457358,9.542633,0.020833,1,0.001804,5,0.998196,2766,0.979167,47,0.166667,0.020833,0.037037,0.053419,0.673358,0.049674,0.157503,0.144196,0.855804,0.842497,?,0.157503,?,?,0.623504,0.095678,?,0.157503,346.858,0,343.765625,0,343765.625,0,237234,2361420,264642,94.004966,51.70447,?,21,11
2_woman-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,2,weka.classifiers.trees.LMT,'-I -1 -M 1 -W 0.0',-1113212459618104943,20220608.1504,25365,2819,467,2352,0,16.566158,83.433842,0,0.020473,0.036556,0.135342,98.933447,99.574354,13513.400061,12808.20609,705.193971,4.793686,4.543528,0.250157,1110.167563,0.393816,8.215309,0,0,0,0,1,2771,1,48,?,0,?,?,0.72958,0.069581,0.165662,0.146598,0.853402,0.834338,?,0.165662,?,?,0.606166,0.087494,?,0.165662,415.499,0.016,412.8125,0.015625,412812.5,15.625,237234,2361420,264642,94.785385,57.970773,?,21,11
2_woman-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,3,weka.classifiers.trees.LMT,'-I -1 -M 1 -W 0.0',-1113212459618104943,20220608.1511,25365,2819,445,2374,0,15.78574,84.21426,0,0.018654,0.036392,0.135579,98.489852,99.751156,13510.172384,13541.451243,-31.278859,4.792541,4.803636,-0.011096,1325.838598,0.470322,9.813632,0.020408,1,0.004693,13,0.995307,2757,0.979592,48,0.071429,0.020408,0.031746,0.029216,0.682038,0.060626,0.157857,0.140291,0.859709,0.842143,?,0.157857,?,?,0.624124,0.090267,?,0.157857,391.777,0.016,388.40625,0.015625,388406.25,15.625,282792,2361420,264642,92.834338,50.318914,?,25,13
2_woman-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,4,weka.classifiers.trees.LMT,'-I -1 -M 1 -W 0.0',-1113212459618104943,20220608.1519,25365,2819,449,2370,0,15.927634,84.072366,0,0.011751,0.036677,0.13538,99.261529,99.604371,13509.721411,12892.751275,616.970137,4.792381,4.573519,0.218861,919.377878,0.326136,6.805306,0,0,0.001805,5,0.998195,2765,1,49,0,0,0,-0.005606,0.729456,0.06385,0.159276,0.148223,0.851777,0.840724,?,0.159276,?,?,0.604905,0.084697,?,0.159276,468.504,0.016,465.546875,0.015625,465546.875,15.625,237234,2361420,264642,97.02022,64.526428,?,21,11
2_woman-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,5,weka.classifiers.trees.LMT,'-I -1 -M 1 -W 0.0',-1113212459618104943,20220608.1527,25366,2818,448,2370,0,15.8978,84.1022,0,0.015679,0.036546,0.135286,98.90986,99.537711,13501.968148,12789.346573,712.621574,4.79133,4.538448,0.252882,1133.498433,0.402235,8.395061,0.061224,3,0.001445,4,0.998555,2765,0.938776,46,0.428571,0.061224,0.107143,0.156977,0.738755,0.100509,0.158978,0.144434,0.855566,0.841022,?,0.158978,?,?,0.614777,0.093123,?,0.158978,467.471,0.015,465.3125,0.015625,465312.5,15.625,351129,2361513,264549,95.351313,59.186045,?,31,16
2_woman-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,6,weka.classifiers.trees.LMT,'-I -1 -M 1 -W 0.0',-1113212459618104943,20220608.1534,25366,2818,441,2377,0,15.649397,84.350603,0,0.014155,0.036551,0.136007,98.921998,100.066366,13507.77853,14359.701323,-851.922794,4.793392,5.095707,-0.302315,1165.542219,0.413606,8.628674,0,0,0.002528,7,0.997472,2762,1,49,0,0,0,-0.006638,0.688232,0.034828,0.156494,0.14361,0.85639,0.843506,?,0.156494,?,?,0.604134,0.081968,?,0.156494,413.33,0.015,409.359375,0.015625,409359.375,15.625,191676,2361513,264549,93.115685,53.005191,?,17,9
2_woman-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,7,weka.classifiers.trees.LMT,'-I -1 -M 1 -W 0.0',-1113212459618104943,20220608.1541,25366,2818,456,2362,0,16.181689,83.818311,0,0.013621,0.036587,0.135335,99.021475,99.575386,13503.783419,12841.945665,661.837755,4.791974,4.557113,0.234861,1027.250102,0.364532,7.607128,0,0,0,0,1,2769,1,49,?,0,?,?,0.679675,0.045429,0.161817,0.149132,0.850868,0.838183,?,0.161817,?,?,0.607684,0.090383,?,0.161817,420.025,0.016,417.8125,0.015625,417812.5,15.625,214455,2361513,264549,94.783534,58.296108,?,19,10
2_woman-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,8,weka.classifiers.trees.LMT,'-I -1 -M 1 -W 0.0',-1113212459618104943,20220608.1546,25366,2818,473,2345,0,16.784954,83.215046,0,0.02657,0.036399,0.135204,98.513388,99.479802,13502.278367,12883.722181,618.556186,4.79144,4.571938,0.219502,1329.05512,0.471631,9.843192,0.061224,3,0.002889,8,0.997111,2761,0.938776,46,0.272727,0.061224,0.1,0.122285,0.737701,0.075847,0.16785,0.142884,0.857116,0.83215,?,0.16785,?,?,0.628872,0.094607,?,0.16785,356.762,0,353.796875,0,353796.875,0,260013,2361513,264549,93.825408,51.990704,?,23,12
2_woman-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,9,weka.classifiers.trees.LMT,'-I -1 -M 1 -W 0.0',-1113212459618104943,20220608.1554,25366,2818,466,2352,0,16.536551,83.463449,0,0.02764,0.036368,0.13535,98.424846,99.582708,13505.486697,14214.807071,-709.320375,4.792579,5.044289,-0.251711,1389.758779,0.493172,10.290327,0.083333,4,0.001444,4,0.998556,2766,0.916667,44,0.5,0.083333,0.142857,0.199154,0.817825,0.135077,0.165366,0.139833,0.860167,0.834634,?,0.165366,?,?,0.620029,0.097234,?,0.165366,424.921,0.015,421.3125,0.015625,421312.5,15.625,191676,2361513,264549,92.725337,50.824531,?,17,9
