@relation pressed_keys-weka.filters.unsupervised.attribute.NumericToNominal-Rlast

@attribute left_x numeric
@attribute left_y numeric
@attribute right_x numeric
@attribute right_y numeric
@attribute centre_x numeric
@attribute centre_y numeric
@attribute head_angle numeric
@attribute pressed_key {8,13,39,43,44,45,46,48,49,50,51,52,53,54,55,56,57,60,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,161,180,186,231,241}

@data
30,2,30,4,300,152,1,49
23,3,29,3,296,146,0,161
27,3,31,3,305,145,-0.98,100
27,3,31,3,303,143,0,97
27,4,31,3,297,142,-0.97,110
26,3,28,3,297,142,-0.65,116
28,2,31,3,294,139,-0.32,101
24,4,24,4,288,138,-0.33,50
29,3,33,4,294,140,0,8
27,3,31,4,292,137,-0.33,49
20,2,28,3,290,136,2.55,161
24,4,29,3,297,137,0,104
26,3,28,3,298,138,0.65,117
26,3,29,3,297,138,0.66,103
29,2,32,2,295,138,0,111
26,3,30,2,289,134,0,49
22,2,29,3,292,145,2.36,56
26,2,30,3,296,151,1.62,121
27,3,32,3,294,149,1.95,101
17,4,17,3,284,142,2.68,110
27,3,29,4,286,139,0.66,109
25,4,29,5,302,138,1.99,105
27,4,33,4,302,147,2.29,105
27,2,30,3,300,150,1.94,110
29,3,31,3,295,150,0.65,116
29,3,33,3,295,151,1.6,101
29,3,30,4,293,149,1.6,114
26,3,28,3,293,150,0.64,105
26,3,30,3,295,148,1.94,111
25,4,29,4,305,148,2.88,114
23,2,28,3,307,158,2.53,44
25,2,28,3,310,147,2.94,161
25,3,28,3,295,141,0.66,118
26,3,28,4,292,140,-0.32,101
25,4,32,5,292,139,-0.32,114
23,5,32,4,291,140,0.98,108
24,3,26,5,302,140,1.62,97
24,2,29,3,312,146,2.55,105
27,2,30,3,316,145,2.57,110
27,3,28,3,318,142,4.27,101
?,?,29,3,293,131,-0.34,49
25,4,31,3,297,147,-0.32,57
25,3,29,3,300,149,0.34,108
28,2,30,2,309,146,0.34,117
27,3,31,3,306,145,1.69,101
26,3,30,3,298,141,0,103
25,3,30,2,291,142,-1.01,111
29,3,30,3,279,140,-1.67,97
25,3,31,3,275,138,-1.34,108
26,2,30,3,265,137,-2.71,100
26,3,31,2,259,135,-2.69,101
24,4,31,3,256,136,-3.06,115
26,4,30,3,256,135,-2.37,112
27,2,31,3,254,135,-3.04,101
25,4,28,2,253,134,-4.67,100
26,3,30,3,256,134,-3.74,105
25,4,32,3,259,135,-3.74,114
26,4,31,2,260,134,-3.74,109
22,4,21,3,259,131,-3.85,101
21,3,25,3,278,146,-1.96,45
22,3,27,2,280,147,-2.28,45
22,3,25,3,297,148,-0.64,46
30,3,30,3,305,141,0.99,50
26,3,27,3,293,143,-0.66,97
23,4,27,3,294,145,-0.66,98
24,2,27,3,295,145,0.34,117
21,5,20,3,295,142,0.34,101
19,3,21,3,294,141,0.69,108
19,3,17,3,293,142,0.69,111
23,3,30,3,290,152,-0.99,44
28,2,32,4,295,149,0.66,112
29,2,31,3,295,147,0,114
28,3,30,3,293,145,-0.32,101
26,3,31,3,291,144,0.66,99
?,?,26,4,284,140,0,105
20,3,20,3,277,139,-0.33,115
20,3,20,3,275,140,0.34,111
27,3,30,4,288,143,0,101
28,3,31,4,287,143,-0.33,115
19,4,13,2,276,138,-0.34,100
18,2,19,3,274,138,-0.34,101
25,3,28,3,284,146,-0.33,99
24,2,29,3,289,138,1.03,105
25,2,30,3,289,139,2.04,114
25,3,31,3,289,138,1.37,111
25,3,31,4,285,137,0.69,115
?,?,39,2,279,135,1.37,108
17,2,14,3,273,132,0,111
23,2,27,2,281,144,-0.33,46
18,2,14,3,285,140,0,109
22,4,26,4,290,143,0.7,105
26,3,29,3,290,138,1.05,101
21,3,25,3,285,136,1.39,115
21,2,27,3,283,136,0,112
26,2,29,3,285,137,0,111
?,?,30,3,284,136,0.69,115
16,2,13,4,283,132,0.35,97
24,2,29,3,291,134,0.35,101
27,3,29,3,292,133,-0.69,115
25,2,28,3,287,132,-0.34,100
24,3,27,3,284,132,-0.69,101
24,3,25,3,283,131,0,109
22,3,28,4,285,129,0.36,105
24,3,26,3,292,129,-0.69,116
?,?,29,3,295,128,-0.7,105
22,5,28,3,298,129,-1.39,101
?,?,26,3,298,130,-1.8,114
?,?,?,?,298,127,-1.81,114
21,2,20,1,297,126,-1.44,97
24,3,25,5,301,129,1.42,44
22,3,22,3,300,131,-0.35,109
22,3,23,3,300,131,-1.04,105
22,3,25,3,300,131,-0.71,113
23,3,23,3,299,131,-1.4,117
23,3,28,2,298,131,0,101
25,3,27,3,295,133,1.41,114
25,3,28,3,293,132,1.41,105
25,2,27,3,293,132,1.75,100
20,3,18,3,294,130,0.71,97
22,3,22,3,296,139,0,44
27,3,26,3,297,136,1.4,100
27,3,26,3,297,136,1.4,101
24,3,21,3,290,136,1.05,112
23,2,23,3,292,135,0.72,97
23,2,24,3,291,135,0,114
21,4,26,4,299,138,0.36,180
24,3,28,5,298,136,0,180
22,4,28,5,301,137,1.06,8
23,2,29,3,301,139,1.05,105
23,3,30,5,301,139,2.46,97
24,3,30,5,296,137,0.35,8
23,3,30,6,295,138,-0.34,8
23,3,29,5,293,137,0.7,8
23,4,29,6,294,137,1.04,8
25,2,29,3,291,140,1.38,101
26,2,29,3,286,141,0,8
25,2,27,3,284,140,0.35,114
23,2,26,3,287,137,1.36,105
25,2,30,3,296,135,0.35,115
21,3,25,3,295,135,2.56,46
25,3,29,2,269,176,0.68,101
24,3,30,2,266,177,-0.67,108
26,2,30,2,273,177,-1.33,97
27,3,31,2,274,177,-0.33,98
24,2,29,2,276,176,-0.33,117
22,3,28,2,276,176,0.68,101
23,4,28,3,279,177,1.02,108
24,3,29,1,281,177,0.68,111
25,2,30,3,286,177,0.67,101
22,3,27,3,283,178,1.34,115
23,3,27,3,280,179,1.68,112
22,2,29,2,279,179,0.67,97
23,3,29,3,275,178,-0.33,241
23,3,28,3,273,179,-0.67,111
?,?,21,3,274,177,0,108
29,3,30,3,276,183,0.34,100
27,3,30,2,274,184,0.34,101
25,3,30,3,278,184,0,98
31,2,30,3,281,182,-0.65,97
26,3,30,2,280,182,0,114
24,2,31,2,274,181,0.67,98
23,3,21,3,272,178,0.34,97
27,3,29,2,274,184,0.67,109
28,3,31,3,273,183,0,101
28,4,30,3,274,182,0,115
23,3,29,2,272,183,0.66,101
23,3,31,2,276,183,0,241
27,3,30,3,280,183,0,97
28,3,30,3,281,184,0.67,108
?,?,23,2,283,181,1.67,97
26,3,30,3,284,184,1,117
27,2,32,3,288,184,1.68,110
28,2,30,3,289,183,0.67,97
27,2,30,3,288,182,1,115
27,3,30,3,285,181,1.31,101
24,2,27,2,282,180,0.67,114
25,3,28,3,278,180,0.66,105
27,3,30,3,279,179,-0.33,101
28,2,30,3,278,182,-0.32,100
28,3,30,3,278,181,0.34,101
27,4,30,3,279,180,0,114
26,3,30,3,279,181,0,101
26,3,30,3,277,179,-0.66,116
29,4,28,2,271,176,-1.33,114
29,2,28,2,270,176,-0.33,97
24,4,29,2,272,176,-1.34,116
24,3,31,2,273,176,-1.33,111
25,4,31,3,274,176,-1.33,115
24,3,27,2,279,177,0.33,105
24,2,30,2,295,180,2.63,108
29,3,30,4,302,179,2.94,117
27,3,29,3,300,178,1,115
27,3,31,3,295,178,3.64,116
27,2,29,3,287,177,1.66,114
?,?,?,?,284,176,1.97,101
?,?,16,3,276,176,1,115
27,2,30,3,282,185,1,46
28,3,31,3,284,185,1.64,101
28,3,30,3,285,184,0.99,115
24,3,30,4,282,183,0.34,116
25,3,29,3,281,183,1,101
26,2,30,3,281,183,1.33,109
28,3,31,3,281,184,0.99,101
25,2,29,2,283,182,0.98,100
24,2,30,2,284,183,0.66,105
27,3,31,2,287,183,1.65,99
?,?,30,1,291,182,3.24,101
28,4,30,4,295,185,2.94,101
27,3,29,3,295,186,1.31,115
22,2,25,3,291,184,1.31,101
23,2,27,3,289,184,2.32,108
30,3,30,3,300,184,2.6,113
27,2,29,3,298,184,1.99,117
?,?,12,1,294,182,3.64,101
26,3,25,3,292,181,1.66,8
25,4,27,4,293,182,3.31,8
25,4,25,6,293,183,2.3,8
27,2,31,3,291,183,1.64,103
27,3,30,3,290,183,1.62,114
26,3,29,3,289,184,1.3,97
25,4,24,4,287,179,1.65,110
29,2,30,3,293,189,1.89,100
26,2,30,2,292,188,2.85,111
26,3,29,3,291,188,1.28,110
24,3,28,3,298,185,1.61,109
27,3,29,3,304,186,3.5,105
27,3,30,3,306,186,2.88,103
25,3,30,3,305,186,2.6,117
28,2,30,2,303,186,2.27,101
24,3,25,3,303,184,2.32,108
29,3,31,3,301,188,1.61,100
26,2,30,3,298,185,1.93,101
29,3,32,3,293,186,1.6,99
28,2,31,3,293,187,1.59,101
29,3,32,3,290,188,1.91,114
27,3,29,2,287,186,1.27,118
26,3,29,3,287,186,1.29,97
28,3,30,3,289,185,1.6,110
27,3,32,3,292,186,1.6,116
27,2,31,3,294,185,1.94,101
?,?,30,3,295,180,2.3,115
28,3,30,3,290,184,0.33,115
27,2,29,3,287,184,0.66,97
24,2,29,3,284,184,0,97
27,2,30,3,281,183,0,118
30,2,31,3,276,182,-0.32,101
29,3,30,3,273,182,-0.96,100
25,4,31,3,270,182,-1.32,114
27,2,32,3,271,182,-1.3,97
24,3,28,3,277,188,-0.32,44
28,3,32,3,278,184,-0.96,103
25,3,31,2,278,184,-1.28,101
25,3,26,3,277,182,-1.61,110
25,2,29,3,277,182,-0.64,105
?,?,29,2,277,181,-0.32,111
25,2,30,3,279,181,-0.64,121
29,2,29,2,281,181,-0.32,109
28,3,31,2,283,181,-0.32,97
27,3,31,3,284,179,0.65,110
25,2,30,2,281,181,-0.99,99
?,?,43,1,281,178,0,111
24,3,27,3,288,185,0.96,44
28,3,31,3,297,186,1.9,101
28,2,30,3,296,184,1.61,115
28,3,32,3,293,184,0.96,116
?,?,24,3,293,182,1.29,101
20,3,19,4,284,179,0.98,101
?,?,24,2,287,183,1.62,115
22,3,28,3,288,181,0.64,108
25,2,28,2,292,183,2.22,111
25,2,26,3,294,182,2.83,112
24,2,31,2,298,182,1.6,101
18,3,17,3,296,178,2.88,100
