@relation pressed_keys-weka.filters.unsupervised.attribute.NumericToNominal-Rlast

@attribute left_x numeric
@attribute left_y numeric
@attribute right_x numeric
@attribute right_y numeric
@attribute centre_x numeric
@attribute centre_y numeric
@attribute head_angle numeric
@attribute pressed_key {8,13,32,39,43,44,45,46,48,49,50,51,52,53,54,55,56,57,60,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,161,180,186,231,241}

@data
16,3,25,3,298,177,0,32
17,4,24,4,299,178,1.4,121
17,3,24,4,302,177,1.05,32
18,3,24,3,300,175,1.75,101
16,3,25,3,302,175,2.11,108
16,3,24,3,300,175,1.06,32
17,3,23,4,304,174,2.12,98
16,3,25,4,311,174,2.46,117
14,3,22,4,312,172,2.85,102
14,5,21,3,306,171,2.17,111
14,5,20,4,301,173,2.87,110
17,5,25,4,292,172,1.77,32
15,3,25,3,299,183,1.06,104
17,4,24,4,299,179,0.71,97
15,3,26,3,303,179,1.42,98
15,3,25,3,307,178,3.18,108
17,3,25,3,307,176,2.79,97
17,3,25,3,305,176,2.77,110
15,3,24,3,300,174,2.07,100
12,5,19,3,288,169,1.06,111
16,3,25,3,298,177,1.72,32
17,3,24,3,300,175,3.12,113
17,3,24,4,300,176,2.43,117
16,3,24,4,303,175,2.79,101
17,3,24,4,308,173,3.48,100
14,5,22,5,304,171,3.18,111
13,5,16,4,299,168,3.22,32
18,3,25,4,310,176,3.75,121
16,3,25,4,311,171,2.44,32
16,3,25,4,312,170,2.41,115
16,3,25,4,312,170,2.79,117
17,3,24,4,314,171,3.16,115
17,3,25,4,310,171,3.1,112
17,3,24,4,310,171,2.39,105
17,3,24,4,314,171,3.12,114
17,3,25,4,314,169,3.51,97
17,3,25,4,308,170,2.79,110
13,4,22,4,306,167,2.49,116
12,5,17,3,298,167,2.49,101
13,5,16,3,291,167,1.08,115
16,3,24,4,301,180,0.69,44
16,3,24,4,300,177,1.37,32
17,3,26,3,302,171,0.69,98
16,3,25,4,301,170,1.73,97
16,3,25,4,300,172,1.04,106
16,3,24,4,297,171,0,97
16,3,25,3,295,170,2.08,110
12,5,18,4,277,163,0.72,32
17,3,26,3,295,172,0,97
17,3,26,3,309,172,1.7,32
18,5,25,4,311,167,2.46,102
19,3,24,4,314,174,2.33,114
18,4,24,4,315,173,1.68,97
17,3,24,4,310,172,2.39,110
17,3,24,4,309,172,1.36,113
18,3,25,3,309,171,1.68,117
17,3,25,3,308,171,1.04,101
18,3,25,4,310,170,1.35,97
18,4,25,4,309,168,1.35,114
16,5,24,5,307,164,0.36,32
17,5,24,5,310,166,1.39,108
17,5,25,5,310,166,0,97
16,4,24,4,310,167,0,32
17,4,25,4,308,170,1.01,112
18,3,25,3,308,174,1.34,117
18,4,25,3,306,173,0.67,101
17,3,25,3,308,173,1.7,115
17,4,24,4,304,170,1.04,116
17,4,24,4,304,167,0.35,97
16,4,23,4,299,167,0.71,32
17,5,24,4,302,169,0,97
17,5,24,5,302,167,0,108
17,3,24,4,303,172,0.67,32
17,3,25,3,303,172,0,109
17,3,25,4,303,170,0.67,97
17,4,24,4,304,171,1.02,114
18,4,25,4,305,170,1.01,105
18,4,24,4,305,170,1.02,110
16,3,25,3,305,170,0.68,101
17,3,25,4,306,170,0.35,114
16,3,25,4,301,170,1.39,112
16,3,24,3,302,171,1.37,111
18,3,25,4,291,175,1.36,44
18,4,24,4,302,167,1.37,46
17,5,25,5,315,162,1.37,32
16,3,24,3,308,153,-0.32,101
17,5,24,4,299,148,0,110
18,5,24,4,295,148,-0.65,32
16,5,25,4,296,149,-0.98,108
17,5,24,4,296,149,-1.31,97
17,5,24,4,298,151,-0.65,32
16,3,28,3,304,161,-0.64,97
18,4,26,4,312,168,-0.32,110
18,4,26,4,310,166,0.66,116
18,4,25,4,308,167,0,101
15,3,23,2,303,165,0.69,115
15,5,23,4,295,160,-0.68,97
15,6,24,4,289,159,-1.01,108
16,5,24,4,288,160,-1.69,97
16,5,24,4,289,163,-1.34,32
18,4,25,4,302,169,0.33,101
18,4,25,4,303,169,0.98,108
18,4,25,4,301,168,0.66,32
19,4,25,4,300,169,0.33,118
17,3,26,3,301,169,0.34,105
18,3,25,4,304,169,1,101
17,4,24,4,305,169,1.67,110
15,5,24,5,303,164,1.39,116
14,5,24,5,299,164,1.75,111
14,5,23,5,297,163,0.71,32
17,4,26,4,304,174,0.67,115
17,3,25,3,304,174,0.34,101
19,4,26,3,298,173,0.33,32
16,6,19,3,292,169,-0.33,114
16,5,21,4,290,169,-0.67,101
16,3,24,3,296,170,-1,116
17,4,24,4,296,171,-0.99,117
18,4,27,3,297,168,-1.33,101
17,3,25,3,299,169,0.34,114
17,3,25,3,296,169,-0.99,99
17,4,26,4,297,168,-1.01,101
15,5,23,4,294,166,-1.01,110
18,4,25,4,284,166,-1.01,8
18,5,26,5,286,164,-0.99,32
17,3,26,3,297,169,-0.33,117
21,4,26,4,293,186,0.32,108
18,4,25,4,294,179,0.33,117
16,6,18,5,289,177,0.66,108
16,6,18,5,286,174,-0.99,97
17,6,20,4,287,175,-0.97,110
19,4,27,4,296,178,1.29,116
14,6,19,5,287,169,1.01,101
19,4,25,4,290,173,1.32,32
19,4,26,3,307,164,0,121
18,4,26,4,305,163,0.33,32
18,4,26,4,313,162,-0.32,115
17,3,27,3,318,163,0,111
19,4,26,3,319,162,0.65,116
18,3,27,3,319,161,1.31,117
18,4,26,3,318,158,0.67,114
18,4,27,4,321,160,1.32,110
17,3,26,3,323,160,1.63,111
18,5,26,4,321,157,1.96,32
19,4,28,5,303,165,0.32,108
17,4,23,3,302,163,0,97
13,5,23,2,297,159,0.65,115
12,5,15,4,289,158,0,32
20,4,26,4,309,165,1.58,100
19,5,28,5,313,160,1.29,8
17,4,27,4,315,162,1.59,118
17,4,28,4,315,161,1.29,105
18,4,28,4,315,160,1.27,100
20,4,27,4,317,158,2.87,114
18,3,27,3,320,155,3.2,105
17,2,26,3,316,153,2.6,101
19,2,28,2,307,153,1.59,114
18,2,27,2,307,155,1.57,97
18,3,28,2,304,156,0.32,115
20,3,25,3,307,174,1.88,44
19,3,26,4,311,171,2.2,32
18,3,26,4,314,168,1.59,116
18,3,27,3,317,166,1.87,97
