@relation 5_glasses-weka.filters.unsupervised.attribute.NumericToNominal-Rlast

@attribute left_x numeric
@attribute left_y numeric
@attribute right_x numeric
@attribute right_y numeric
@attribute centre_x numeric
@attribute centre_y numeric
@attribute head_angle numeric
@attribute pressed_key {8,13,32,39,44,45,46,48,49,50,51,52,53,54,55,56,57,60,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,161,180,231,241}

@data
18,4,27,4,375,268,-1.57,111
19,4,27,4,373,266,-1.98,32
19,2,25,2,380,275,-0.8,101
17,3,25,2,379,274,-1.21,110
17,2,23,2,376,274,-0.8,32
15,2,22,1,370,272,-1.59,100
16,3,24,2,369,273,-1.99,111
17,2,24,3,370,268,-2.36,110
17,3,24,3,374,267,-1.96,100
16,3,25,4,377,266,-1.57,101
16,2,25,4,379,266,-0.78,32
16,1,24,2,383,270,-2.41,101
17,1,24,2,385,269,-0.8,108
18,2,23,2,384,269,-1.98,32
15,3,23,2,378,272,-0.4,104
15,2,24,2,372,269,-2.83,111
18,2,23,1,370,270,-2.81,109
16,2,26,3,367,268,-1.2,114
17,4,20,4,366,265,-1.18,101
19,3,27,3,375,268,-1.58,8
18,3,25,2,374,270,-1.19,8
17,2,24,1,374,274,-0.39,98
19,4,27,3,372,268,-1.18,114
20,3,27,5,375,266,0.39,101
17,3,26,3,376,264,0,32
19,2,25,2,384,274,0.8,101
18,1,25,2,384,273,1.19,115
16,1,24,1,382,274,0.4,32
18,1,24,2,382,275,0.79,110
17,2,23,2,381,274,0.4,97
16,1,24,2,380,277,0,116
19,2,24,2,386,275,0.4,117
21,1,25,2,388,274,1.96,114
20,2,25,1,383,271,0.79,97
21,2,27,2,384,270,0.39,108
20,1,27,1,383,270,-0.78,101
18,2,26,3,380,264,0.39,122
17,3,24,2,380,264,0.39,97
19,3,27,2,381,264,0,32
20,1,26,2,387,260,-0.75,121
18,1,24,1,391,260,0,32
13,1,24,1,397,262,0,108
22,0,27,1,397,263,0,97
20,1,25,1,392,262,0.39,32
21,1,27,2,388,264,0.78,110
17,1,25,1,384,265,-0.77,97
20,2,24,1,382,267,-0.77,116
18,1,24,1,385,266,-1.98,105
20,1,26,2,384,270,-0.39,114
17,1,23,1,379,268,0.4,97
21,1,26,1,382,270,-0.39,108
19,1,25,2,386,270,-0.39,101
19,1,25,1,389,270,0,122
19,2,26,2,387,269,-1.57,97
16,2,24,2,383,264,0.4,32
14,2,22,3,346,280,-0.8,8
16,2,23,1,357,278,-1.63,44
14,2,25,2,364,279,0,32
19,2,24,2,373,277,1.2,99
16,2,23,2,371,275,0.8,105
17,2,24,1,369,278,0.41,101
19,1,24,1,371,277,1.6,110
14,2,17,1,369,270,2.4,99
16,3,23,3,364,270,0.79,105
15,3,18,3,364,269,0.4,97
15,3,18,3,364,270,-0.78,32
14,2,15,2,366,278,1.6,8
16,2,25,2,369,279,0.4,44
18,2,25,2,374,280,2.35,32
17,1,24,2,377,279,3.13,121
19,2,25,2,375,276,1.96,32
16,1,26,2,379,268,3.9,101
14,4,18,3,353,269,3.52,100
14,4,17,3,354,271,3.1,101
18,1,24,2,360,274,1.58,108
18,2,26,2,367,273,1.58,32
17,2,24,2,369,273,2.35,99
15,1,24,1,368,271,1.19,117
16,4,22,3,367,267,4.26,97
15,3,24,2,370,268,1.59,108
17,3,23,3,368,266,2.31,32
22,2,26,2,370,272,1.17,115
18,1,24,1,369,271,0,101
18,2,23,2,369,273,0,32
20,2,26,2,368,273,-1.16,104
19,2,24,2,376,272,0,97
19,2,24,2,381,274,1.97,32
19,2,24,2,379,272,2.37,100
18,2,25,2,378,272,1.19,101
18,1,26,2,374,271,0.4,115
19,2,24,1,375,275,1.58,116
