@relation pressed_keys-weka.filters.unsupervised.attribute.NumericToNominal-Rlast

@attribute left_x numeric
@attribute left_y numeric
@attribute right_x numeric
@attribute right_y numeric
@attribute centre_x numeric
@attribute centre_y numeric
@attribute head_angle numeric
@attribute pressed_key {8,13,39,44,45,46,48,49,50,51,52,53,54,55,56,57,60,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,161,180,241}

@data
17,4,19,3,358,199,-6.45,101
17,4,18,3,360,196,-7.87,101
22,5,24,4,358,195,-7.16,114
22,5,22,3,358,195,-6.81,114
21,5,23,3,359,196,-6.45,97
21,4,22,3,363,198,-6.36,110
21,4,23,2,364,200,-7.11,116
20,5,24,2,361,198,-6.14,101
22,4,25,2,365,200,-9.55,115
14,4,18,2,376,212,-1.82,44
18,3,18,1,378,205,-1.06,115
16,2,18,3,379,206,-1.07,105
21,3,23,2,376,204,-2.86,101
21,4,23,2,374,203,-3.24,115
17,3,19,3,369,200,-3.93,99
16,4,18,2,368,200,-3.6,97
17,2,19,0,369,200,-4.28,112
21,4,22,2,374,201,-3.95,97
17,4,23,1,377,198,-3.24,109
20,4,26,0,384,200,-2.52,97
19,5,23,3,384,198,-2.17,109
17,4,19,2,387,206,-1.08,111
17,4,18,2,386,207,-1.08,115
15,3,17,2,374,199,-1.77,100
15,3,17,1,372,201,-3.6,101
13,4,18,1,368,200,-3.93,108
13,3,16,2,366,201,-5.03,97
13,4,19,3,363,201,-5.35,109
14,3,17,2,360,200,-5.82,117
13,3,14,2,364,198,-4.67,101
16,5,18,1,367,198,-2.16,114
15,4,18,2,368,197,-2.55,116
14,4,19,3,368,197,-3.62,101
16,4,25,3,369,207,-2.55,44
14,3,17,2,363,201,-3.6,112
15,2,15,2,363,201,-4.64,117
14,4,18,2,367,198,-3.24,101
14,4,14,1,366,199,-3.6,115
12,3,16,2,361,201,-3.62,115
21,4,22,2,364,202,-2.86,105
22,4,24,3,376,198,-1.08,110
12,4,14,2,370,197,-1.8,111
15,3,22,2,373,208,-0.73,44
17,4,23,3,374,207,-2.52,108
16,4,23,2,372,206,-1.47,97
13,2,15,2,362,202,-2.53,103
11,3,14,1,366,201,-1.8,117
12,3,14,1,370,200,-2.16,101
13,2,13,2,377,200,0.36,114
14,4,17,3,379,197,0.37,114
13,3,16,2,378,197,0,97
17,5,25,3,390,201,0.72,121
12,3,14,3,380,198,0.73,108
13,3,14,2,378,199,-0.35,97
11,2,14,3,378,199,-1.07,112
12,2,15,3,378,198,0,101
11,3,16,2,379,198,1.43,115
12,3,16,2,376,199,0.37,116
12,3,15,3,372,199,1.09,101
13,3,15,1,365,198,0.74,117
11,3,15,2,364,195,-1.46,110
11,3,15,3,368,194,-0.36,105
