@relation pressed_keys-weka.filters.unsupervised.attribute.NumericToNominal-Rlast

@attribute left_x numeric
@attribute left_y numeric
@attribute right_x numeric
@attribute right_y numeric
@attribute centre_x numeric
@attribute centre_y numeric
@attribute head_angle numeric
@attribute pressed_key {8,13,39,43,44,45,46,48,49,50,51,52,53,54,55,56,57,60,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,161,180,186,231,241}

@data
12,2,20,3,329,217,1.35,101
16,1,20,3,327,217,1.36,101
12,1,15,1,325,216,3.14,108
13,2,19,1,299,214,-6.74,115
10,3,15,2,298,218,-5.9,105
13,2,18,2,292,223,-5.36,110
9,3,13,1,292,222,-5.85,111
15,2,18,1,301,217,-6.24,113
11,3,15,1,299,218,-5.8,117
5,4,20,1,301,219,-5.36,101
15,2,20,2,311,227,-3.52,97
13,2,19,1,314,225,-3.05,113
10,2,18,1,312,225,-2.66,117
14,1,19,1,313,224,-2.22,101
11,2,18,2,311,226,-1.31,108
11,2,20,2,311,224,-0.88,109
10,2,18,2,314,222,-0.44,117
10,2,18,1,313,224,-0.44,110
11,2,19,2,316,225,-2.24,100
9,2,19,2,313,223,-0.89,111
14,2,20,2,314,221,-0.45,101
9,2,17,1,315,220,-0.91,110
11,2,21,2,314,221,-0.9,100
10,2,15,0,314,221,-0.9,111
9,2,21,2,311,221,-0.9,110
13,2,20,2,316,222,-0.89,100
12,2,20,2,314,219,-0.45,101
15,2,15,2,314,220,0,101
10,3,17,1,310,220,0.45,108
9,2,23,2,315,217,-0.44,104
6,2,?,?,308,218,-0.88,111
11,2,?,?,306,219,-1.32,109
10,2,?,?,312,222,-0.43,98
9,3,22,2,312,220,-2.68,114
7,2,?,?,312,217,-1.79,101
15,1,21,2,313,220,-1.34,101
16,2,25,2,318,219,-1.35,115
12,2,25,2,310,222,-1.36,110
4,3,19,2,315,221,-1.8,97
10,2,25,3,317,219,-0.44,116
8,2,24,2,316,219,-0.91,117
12,2,23,2,314,220,-0.89,114
10,3,21,2,315,219,-0.44,97
10,2,16,1,316,220,0.46,108
13,2,18,2,315,219,-0.9,101
16,2,21,2,324,221,0.46,122
5,2,22,3,333,221,0,97
14,2,16,1,311,219,-0.91,121
11,2,19,2,305,220,-1.34,108
11,2,22,2,304,220,-2.68,97
9,2,21,2,308,224,-0.91,110
6,3,25,2,307,221,-0.9,97
11,2,16,2,309,220,-0.45,116
10,2,16,2,309,218,-0.9,117
14,2,19,2,305,218,-2.3,114
14,1,19,2,313,220,-1.38,97
8,2,14,2,308,223,-1.82,108
12,2,16,1,310,221,-1.82,101
17,1,21,2,319,221,0,122
11,3,17,2,323,221,0,97
14,2,15,2,299,225,0,44
13,2,19,2,313,222,0.47,99
13,1,14,1,313,221,0.46,105
13,2,15,2,311,223,0.47,101
13,2,16,2,313,223,0.46,110
12,2,21,2,313,225,0.47,99
13,2,16,2,305,221,-0.46,105
11,2,19,2,305,223,-2.78,97
13,2,19,2,300,221,-0.92,44
15,2,14,2,314,216,0.93,121
13,2,17,2,313,218,0.47,100
14,2,16,2,316,215,-0.46,101
12,2,15,2,312,218,-0.46,108
14,2,15,1,313,222,0.46,99
14,2,16,1,314,222,0.93,117
14,2,18,2,311,222,-0.46,97
15,1,13,1,313,222,0.92,108
13,2,19,3,318,218,-0.46,115
12,2,20,2,318,217,-1.39,101
8,3,19,2,310,215,-0.46,104
9,3,20,3,310,217,-0.93,97
10,3,20,3,311,215,-0.46,100
11,4,20,3,313,213,-0.46,101
9,2,20,3,320,214,-0.46,115
11,3,19,3,318,212,-0.46,116
9,2,19,3,317,213,-0.47,101
10,2,21,3,306,215,-0.93,114
10,1,20,2,305,216,-1.4,114
12,2,19,3,310,216,-1.4,97
9,4,20,3,311,218,-0.46,100
9,2,14,2,308,218,0,111
12,2,18,2,329,220,0.95,97
9,3,18,2,296,219,0.94,108
11,2,14,2,294,215,0.47,111
15,2,17,2,317,221,0.47,97
13,2,15,2,314,220,-0.46,99
13,2,14,1,316,221,0,99
11,3,16,2,310,219,0.47,105
13,2,15,2,317,223,0.47,100
13,1,14,1,320,221,0.93,101
13,2,16,2,314,220,0,110
14,2,15,1,314,221,0.47,116
16,3,19,3,324,221,1.41,97
12,1,14,2,315,221,1.86,108
15,2,15,2,315,214,0.47,121
14,1,14,1,316,221,1.4,121
14,1,17,2,317,220,1.41,97
15,2,15,2,309,220,0.47,108
11,1,13,1,309,223,0.94,108
16,2,18,2,310,221,0,97
12,1,15,2,311,223,1.88,108
10,2,15,2,310,217,1.41,105
14,2,15,2,315,219,1.41,98
14,1,18,2,317,221,0.95,101
13,2,17,2,318,219,0.93,114
14,2,18,3,318,217,0,116
15,1,17,2,322,222,0,97
12,2,15,1,321,219,0.47,100
13,1,15,1,308,218,0.47,44
